"turtle.id","Pts","sex","cl","pl","wt"
"16",71,"M",120.7,97.7,205
"18",106,"F",118.7,102.7,205
"21",50,"F",124.9,109.2,246
"22",85,"F",112.4,94.2,164
"23",78,"J",89,74.7,87
"24",88,"F",127,111.7,261
"25",90,"F",141.2,116.6,329
"26",17,"J",101.3,87.1,124
"30",43,"J",105.4,86.4,132
"32",26,"J",77.1,63.9,77
"37",95,"F",127.7,108.8,261
"39",11,"J",95.9,80.3,102
"43",64,"M",137.3,113.1,246
"45",21,"F",116.2,100,187
"47",95,"M",111.9,94.4,175
"54",100,"M",118.9,100.5,200
"56",89,"F",131.1,115.1,250
"58",88,"J",97.7,84.5,144
"61",114,"F",131.3,113.8,255
"62",30,"J",93.5,89.2,111
"63",90,"F",131.4,117.1,287
"65",86,"F",110,94.4,165
"71",71,"M",117.3,99,197
"72",29,"J",98,84.4,114
"73",42,"F",132.5,111.2,290
