"event.id","turtle.id","frequency","date","time","session","month","year","season","visible","behaviour","elev","habitat","waterDepth","streamWidth","gravel","pebble","cobble","boulder","litter","canopy","status"
10002,"54","173.641",2020-05-16,2020-05-16 10:42:00,"Day","May","2020","2020 Wet Season",TRUE,"Underwater",150,"Pool",35,1.597,80,0,0,20,100,92.39,1
10003,"18","173.405",2020-05-16,2020-05-16 14:03:00,"Day","May","2020","2020 Wet Season",FALSE,"Underwater",213,"Pool",6,3.653,20,0,0,80,10,57.557,1
10005,"18","173.405",2020-05-18,2020-05-18 22:31:00,"Night","May","2020","2020 Wet Season",TRUE,"Underwater",173,"Pool",2,3.957,0,10,20,70,0,NA,1
10007,"54","173.641",2020-05-25,2020-05-25 20:11:00,"Night","May","2020","2020 Wet Season",TRUE,"Underwater",156,"Pool",21,1.865,30,0,0,70,5,NA,1
10008,"18","173.405",2020-05-25,2020-05-25 23:04:00,"Night","May","2020","2020 Wet Season",FALSE,"Underwater",185,"Pool",14,3.128,40,0,0,60,20,NA,1
10009,"54","173.641",2020-05-27,2020-05-27 11:15:00,"Day","May","2020","2020 Wet Season",FALSE,"Underwater",158,"Pool",4,1.495,0,0,0,100,0,86.09,1
10010,"18","173.405",2020-05-27,2020-05-27 14:12:00,"Day","May","2020","2020 Wet Season",FALSE,"Underwater",195,"Pool",25,1.118,0,0,0,100,0,90.333,1
10011,"54","173.641",2020-05-29,2020-05-29 10:13:00,"Day","May","2020","2020 Wet Season",FALSE,"Underwater",146,"Pool",2,1.366,0,0,0,100,0,89.081,1
10012,"18","173.405",2020-05-29,2020-05-29 12:11:00,"Day","May","2020","2020 Wet Season",FALSE,"Underwater",220,"Pool",57,1.147,0,0,0,100,10,91.849,1
10013,"54","173.641",2020-05-30,2020-05-30 19:48:00,"Night","May","2020","2020 Wet Season",FALSE,"Underwater",156,"Pool",33,3.568,40,0,10,50,0,NA,1
10014,"18","173.405",2020-05-30,2020-05-30 22:16:00,"Night","May","2020","2020 Wet Season",FALSE,"Underwater",218,"Pool",8,1.112,80,20,0,0,0,NA,1
10017,"18","173.405",2020-06-02,2020-06-02 19:24:00,"Night","June","2020","2020 Wet Season",FALSE,"Underwater",224,"Pool",21,1.244,0,0,0,100,0,NA,1
10018,"23","172.476",2020-06-02,2020-06-02 20:13:00,"Night","June","2020","2020 Wet Season",FALSE,"Underwater",188,"Pool",25,2.586,20,10,20,50,0,NA,1
10019,"54","173.641",2020-06-02,2020-06-02 21:17:00,"Night","June","2020","2020 Wet Season",FALSE,"Underwater",159,"Pool",9,1.389,0,0,0,100,0,NA,1
10020,"18","173.405",2020-06-04,2020-06-04 09:43:00,"Day","June","2020","2020 Wet Season",FALSE,"Underwater",199,"Pool",47,3.749,0,0,0,100,0,88.554,1
10021,"23","172.476",2020-06-04,2020-06-04 12:08:00,"Day","June","2020","2020 Wet Season",FALSE,"Underwater",198,"Pool",52,1.741,20,10,0,70,10,90.801,1
10023,"18","173.405",2020-06-05,2020-06-05 20:04:00,"Night","June","2020","2020 Wet Season",FALSE,"Underwater",223,"Pool",57,3.4,5,5,15,75,0,NA,1
10024,"23","172.476",2020-06-05,2020-06-05 21:02:00,"Night","June","2020","2020 Wet Season",TRUE,"Underwater",190,"Pool",38,0.757,10,0,0,90,0,NA,1
